sigma,K_over_KI,dlnW_dI
1.0,1.005012520859401,-1.3283333335278869
1.0,1.037193997387699,-1.2968143462188664
1.0,1.070405956034425,-1.265295358865437
1.0,1.104681393837345,-1.2337763715120076
1.0,1.1400543644314072,-1.2022573841807827
1.0,1.176560011882008,-1.1707383968273533
1.0,1.2142346056016347,-1.1392194094961283
1.0,1.2531155763845676,-1.107700422142699
1.0,1.2932415535954587,-1.076181434811474
1.0,1.3346524035487142,-1.0446624474580446
1.0,1.377389269116828,-1.0131434600824107
1.0,1.4214946106070108,-0.9816244727955946
1.0,1.4670122479467265,-0.9501054854421652
1.0,1.5139874042200563,-0.9185864980665314
1.0,1.5624667505981324,-0.8870675107353064
1.0,1.6124984527082946,-0.8555485234040815
1.0,1.664132218488023,-0.8240295360728566
1.0,1.7174193475712125,-0.7925105487416316
1.0,1.7724127822558338,-0.7609915613659978
1.0,1.8291671601036306,-0.7294725739903639
1.0,1.8877388682241145,-0.6979535867035479
1.0,1.9481860992967808,-0.6664345993723231
1.0,2.01056890938721,-0.6349156119966892
1.0,2.074949277614506,-0.6033966246432598
1.0,2.1413911677293274,-0.5718776373342394
1.0,2.2099605916637253,-0.54035864998081
1.0,2.2807256751158937,-0.5088396626717895
1.0,2.3537567252350162,-0.47732067529615557
1.0,2.429126300473444,-0.4458016879205217
1.0,2.5069092826756076,-0.4142827006337057
1.0,2.587182951475286,-0.38276371330248077
1.0,2.670027061075153,-0.3512447259268469
1.0,2.7555239194848724,-0.31972573859562203
1.0,2.8437584702964758,-0.2882067512643971
1.0,2.9348183770782716,-0.2566877639553766
1.0,3.0287941104711242,-0.2251687766019472
1.0,3.1257790380736425,-0.19364978922631335
1.0,3.2258695172055796,-0.16213080185067952
1.0,3.329164990641603,-0.1306118145638635
1.0,3.435768085410562,-0.09909282714382071
1.0,3.545784714758391,-0.06757383985700471
1.0,3.659324183375976,-0.03605485252577978
1.0,3.7764992959965107,-0.0045358651945548445
1.0,3.8974264694702505,0.026983122181079008
1.0,4.022225848428009,0.05850210949009948
1.0,4.151021424648305,0.09002109684352887
1.0,4.283941160246775,0.12154008421916272
1.0,4.421117114810209,0.15305907155038767
1.0,4.562685576601566,0.18457805888161258
1.0,4.708787197966294,0.2160970462128375
1.0,4.859567135074462,0.24761603354406245
1.0,5.0151751921376295,0.27913502091969633
1.0,5.175765970243626,0.31065400825092127
1.0,5.3414990209571895,0.3421729955377372
1.0,5.512539004839051,0.3736919829133711
1.0,5.689055855040934,0.4052109703112094
1.0,5.871224946139048,0.43672995762022987
1.0,6.059227268373756,0.4682489449514548
1.0,6.2532496074686525,0.49976793228267974
1.0,6.45348473020748,0.5312869196139047
1.0,6.66013157595355,0.5628059069895386
1.0,6.873395454301699,0.5943248943207635
1.0,7.093488249059293,0.6258438816075795
1.0,7.320628628758896,0.6573628689832134
1.0,7.555042263911755,0.6888818563588471
1.0,7.796962051217962,0.7204008436900721
1.0,8.046628344956005,0.751919831021297
1.0,8.304289195781736,0.7834388183525219
1.0,8.570200597173748,0.8149578056837469
1.0,8.844626739770376,0.8464767931037896
1.0,9.127840273850612,0.8779957803906057
1.0,9.420122580220077,0.9095147676774217
1.0,9.721764049770936,0.9410337550530555
1.0,10.033064371993612,0.9725527424286894
1.0,10.354332832726943,1.0040717297599144
1.0,10.685888621442528,1.0355907170911394
1.0,11.028061148368765,1.0671097044223643
1.0,11.381190371769272,1.0986286917535892
1.0,11.745627135701314,1.130147679173632
1.0,12.121733518589446,1.161666666460448
0.5,1.003338895066876,-3.494325240116502
0.5,1.0246447750128622,-3.4339591829191103
0.5,1.0464030848631454,-3.3733407178049286
0.5,1.0686234319570531,-3.312475832606409
0.5,1.091315627645557,-3.2513706254011505
0.5,1.1144896916234563,-3.190031302469087
0.5,1.1381558563535557,-3.1284641759166116
0.5,1.1623245715847872,-3.0666756619002196
0.5,1.187006508966279,-3.0046722776733144
0.5,1.212212566759398,-2.9424606396100113
0.5,1.2379538746498588,-2.880047460451784
0.5,1.2642417986620147,-2.817439546753952
0.5,1.291087946177501,-2.754643796065714
0.5,1.3185041710604546,-2.6916671941767945
0.5,1.346502578891563,-2.6285168121864544
0.5,1.3750955323132603,-2.565199803661322
0.5,1.404295656488428,-2.501723401304723
0.5,1.4341158446750106,-2.4380949140478947
0.5,1.4645692639190095,-2.3743217237859326
0.5,1.4956693608683658,-2.3104112819138933
0.5,1.527429867710301,-2.2463711061959657
0.5,1.5598648082347388,-2.182208777190553
0.5,1.5929885040264817,-2.1179319347863768
0.5,1.6268155807888773,-2.053548274716377
0.5,1.661360974801772,-1.989065544738544
0.5,1.6966399395165943,-1.9244915412830463
0.5,1.732668052291487,-1.859834105477631
0.5,1.7694612212694598,-1.7951011194172748
0.5,1.8070356924025979,-1.7303005025892657
0.5,1.8454080566254318,-1.6654402075877426
0.5,1.8845952571806313,-1.6005282167608212
0.5,1.9246145971002586,-1.5355725378363159
0.5,1.965483746845897,-1.4705812002802074
0.5,2.007220752110997,-1.405562251211023
0.5,2.049844041788926,-1.3405237514474422
0.5,2.0933724361102075,-1.2754737715114928
0.5,2.137825154952556,-1.2104203876761588
0.5,2.1832218263273786,-1.1453716777243272
0.5,2.229582495046483,-1.080335717351666
0.5,2.276927631572827,-1.0153205757923445
0.5,2.325278141059212,-0.9503343120442763
0.5,2.374655372578908,-0.885384970583658
0.5,2.4250811285523017,-0.8204805777900502
0.5,2.4765776743737096,-0.7556291376831225
0.5,2.529167748242618,-0.6908386281478939
0.5,2.582874571203693,-0.6261169968491131
0.5,2.6377218573999883,-0.5614721576119308
0.5,2.693733824543873,-0.49691198644730145
0.5,2.7509352046103235,-0.43244431762179397
0.5,2.8093512547572774,-0.3680769400826733
0.5,2.8690077684778728,-0.30381759381636897
0.5,2.9299310869895274,-0.23967396589608111
0.5,2.9921481108648464,-0.17565368719552052
0.5,3.0556863119095157,-0.11176432854753669
0.5,3.12057374529243,-0.048013397546675655
0.5,3.186839061933389,0.015591665070147085
0.5,3.2545115211538667,0.0790434887321112
0.5,3.323621003596398,0.14233477629854718
